time_start_demog,time_diff_trials,sex,browser,screenWidth,time_start_experiment,windowWidth,monitor,comments,time_diff_demog,time_end_demog,time_diff_experiment,degree,timestamp,time_end_trials,time_end_experiment,postId,browserVersion,participantCount,workerId,age,screenHeight,windowHeight,postID,time_start_trials
1440102529312,42529,Female,Chrome,1280,1440102464819,1280,15,Thank you!,7894,1440102537206,396466,Bachelors,1440102875008,1440102861277,1440102861285,idkntpes,44,48,76F508,30-39,984,923,idkntpes,1440102818748
1440200976782,24399,Female,Chrome,1440,1440200949003,909,13,None,4585,1440200981367,1516400,High School,1440202482438,1440202465399,1440202465403,idmagk6b,44,154,1621EF,18-24,873,778,idmagk6b,1440202441000
1440184509216,232464,Female,Chrome,1280,1440184477056,1280,13,I enjoyed participating in the study.,10705,1440184519921,1600384,High School,1440186122443,1440186077424,1440186077440,idm0nifs,44,103,382870,25-29,800,737,idm0nifs,1440185844960
1440182929166,24305,Male,Chrome,1920,1440182905592,1920,23 or larger,ty!,7604,1440182936770,419167,High School,1440183327866,1440183324759,1440183324759,idlzptw2,44,98,6EB5F2,25-29,1040,955,idlzptw2,1440183300454
1440088738253,59486,Male,Chrome,1920,1440088719462,1920,23 or larger,Leave feedback here,6795,1440088745048,687580,Bachelors,1440089432135,1440089407035,1440089407042,idkfn3ew,44,31,416902,25-29,1040,955,idkfn3ew,1440089347549
1440426688156,51890,Female,Safari,1280,1440426574196,1274,15,Best wishes on your research.,720093,1440427408249,734507,Bachelors,1440427411169,1440427308700,1440427308703,idq0shsa,6,158,1B6160,25-29,774,562,idq0shsa,1440427256810
1440089354804,41883,Female,Chrome,1804,1440089269674,1804,21,Thanks for a fun task!,20253,1440089375057,663692,Bachelors,1440089973390,1440089933359,1440089933366,idkfyvwb,44,38,4DFAE0,30-39,1080,995,idkfyvwb,1440089891476
1440177705026,76839,Female,Chrome,1366,1440177667594,1187,13,"Interesting, but hard!",12754,1440177717780,1274156,Bachelors,1440179038932,1440178941732,1440178941750,idlwlj6v,44,85,765F27,60+,728,615,idlwlj6v,1440178864893
1440106470196,33627,Male,Chrome,1366,1440106416554,1366,17,I left the wrong code in the survey box. sorry.,12407,1440106482603,619766,High School,1440107071654,1440107036312,1440107036320,idkq6ekg,44,67, A1ZD9SJXQ9C6EW,18-24,721,633,idkq6ekg,1440107002685
1440455527147,32466,Female,Chrome,1360,1440455499960,1360,23 or larger,nice survey ,8148,1440455535295,481102,High School,1440455939142,1440455981056,1440455981062,idqi0h0s,44,205,2EC815,30-39,738,677,idqi0h0s,1440455948590
1440103047787,26462,Female,Chrome,1362,1440103021518,1255,11,"I'm very bad at reading charts, please forgive me!",23408,1440103071195,862815,High School,1440103896017,1440103884329,1440103884333,idko5my3,40,64,27574B,18-24,746,674,idko5my3,1440103857867
1439998948046,88765,Male,Chrome,1600,1439998941320,1600,19,"I felt like even when the area or arc length style was portrayed, I could still use the angle to see what the percentage was and vice versa.  Even with only one type being specified for each chart, I found that I sort of use a combination of all three ""strategies"".",3424,1439998951470,777698,High School,1439999851103,1439999719010,1439999719018,idiy6u57,44,6,5A9721,25-29,870,809,idiy6u57,1439999630245
1440029150591,49129,Female,Chrome,1600,1440029135389,1280,dontknow,Leave feedback here,25432,1440029176023,503174,High School,1440029674270,1440029638549,1440029638563,idjg5zzf,44,26,341618,25-29,860,639,idjg5zzf,1440029589420
1440195115851,48615,Female,Chrome,2560,1440195063201,1154,23 or larger,"Very fun, actually--Best of luck with your research!",7474,1440195123325,1468141,Bachelors,1440196558035,1440196531340,1440196531342,idm6yert,44,134,6C27FB,25-29,1341,836,idm6yert,1440196482725
1440194448269,49180,Male,Chrome,1920,1440194444166,1920,23 or larger,Everything worked well.,4743,1440194453012,1490992,High School,1440195986799,1440195935141,1440195935158,idm6l544,44,127,7CBBBC,30-39,1040,979,idm6l544,1440195885961
1440432140519,64147,Female,Chrome,1366,1440432083908,1366,15,Interesting and enjoyable.,9992,1440432150511,830232,Other,1440433289301,1440432914136,1440432914140,idq42l1w,44,179,607B46,30-39,728,667,idq42l1w,1440432849989
1440439365467,69691,Male,Chrome,1920,1440439347469,1920,23 or larger,,10129,1440439375596,792553,High School,1440440139869,1440440140014,1440440140022,idq8e9os,44,191,489213,30-39,1040,955,idq8e9os,1440440070323
1440111789143,52909,Male,Chrome,1366,1440111777669,1366,15,Leave feedback here,12175,1440111801318,408511,Bachelors,1440112191298,1440112186166,1440112186180,idktdb6v,44,81,494571,25-29,728,643,idktdb6v,1440112133257
1440089502513,58389,Female,Chrome,1680,1440089481249,1680,21,Fun interesting survey.  I love math so this was interesting and made me use my brain.,28553,1440089531066,989342,High School,1440090510700,1440090470583,1440090470591,idkg3f7o,44,39,4119E4,30-39,1010,949,idkg3f7o,1440090412194
1440453660566,35446,Male,Chrome,1366,1440453655759,1366,17,no comments,5637,1440453666203,643529,Bachelors,1440455175746,1440454299279,1440454299288,idqgwxw2,44,197,542088,50-59,728,667,idqgwxw2,1440454263833
1440453705274,33552,Female,Chrome,1344,1440453682053,805,21,Leave feedback here ,74105,1440453779379,347990,High School,1440454041507,1440454030038,1440454030043,idqgxib8,44,198,376A50,25-29,985,710,idqgxib8,1440453996486
1440183173543,96525,Male,Chrome,1360,1440183150472,1360,23 or larger,Leave feedback here,9818,1440183183361,1074274,High School,1440184283357,1440184224731,1440184224746,idlzv2qi,44,101,45528F,18-24,728,667,idlzv2qi,1440184128206
1439998260313,32574,Male,Chrome,1680,1439998240025,1680,23 or larger,Interesting!,7660,1439998267973,413823,Bachelors,1439998933656,1439998653838,1439998653848,idixrt0q,44,0,30EFBF,25-29,1022,937,idixrt0q,1439998621264
1440426164484,23370,Female,Chrome,1600,1440426150559,1600,15,Leave feedback here,6074,1440426170558,286135,High School,1440426569801,1440426436681,1440426436694,idq0jewx,44,155,5FFCAA,30-39,860,799,idq0jewx,1440426413311
1440102874486,25097,Male,Chrome,1280,1440102869295,1280,11,,433130,1440103307616,441389,High School,1440103309463,1440103310673,1440103310684,idko2dhh,44,61,398AD8,25-29,664,622,idko2dhh,1440103285576
1440110719340,78703,Female,Chrome,1440,1440110667026,1440,17,Thanks so much!  I didn't realize how much I used angle when calculating the % - this was fun.,7385,1440110726725,1614547,Bachelors,1440112358694,1440112281566,1440112281573,idkspi6t,44,72,90AA76,40-49,860,775,idkspi6t,1440112202863
1440433801571,33613,Male,Chrome,1680,1440433790172,1680,17,There was one entry where the survey froze on me and I think i entered 706%; It was supposed to be 70%,7002,1440433808573,543905,Bachelors,1440434396261,1440434334072,1440434334077,idq535nk,43,186,639802,30-39,1010,925,idq535nk,1440434300459
