time_start_time_trial,time_end_time_trial,rotation,chart_type,log_error,totalSequence,arc_angle_area,judged_true,ans_percentage_diff,opposite_ans,ans_trial,postID,correct_ans,time_diff_time_trial
1440102680647,1440102684043,261.4467225316912,Pie Angle Chart,3.599912842187128,30,,-12,-0.21052631578947367,43,45,idkntpes,57,3396
1440102538720,1440102545922,67.20011671073735,Donut Chart,0.16992500144231237,0,Arc-Length,-1,-0.01098901098901099,9,90,idkntpes,91,7202
1440102709605,1440102713615,353.09721875935793,Pie Angle Chart,1.6438561897747246,37,,3,0.08108108108108109,63,40,idkntpes,37,4010
1440102650425,1440102655887,1.7792418412864208,Pie Angle Chart,2.8328900141647417,22,,7,0.5384615384615384,87,20,idkntpes,13,5462
1440102705420,1440102709605,244.18923307210207,Pie Chart,1.0874628412503393,36,,2,0.05263157894736842,62,40,idkntpes,38,4185
1440102796133,1440102799968,178.2605669181794,Arc-Length Chart,1.0874628412503393,60,,-2,-0.03225806451612903,38,60,idkntpes,62,3835
1440102799968,1440102804034,327.6661649532616,Area Chart,0.16992500144231237,61,,-1,-0.015151515151515152,34,65,idkntpes,66,4066
1440102804034,1440102807556,190.27134407311678,Donut Angle Chart,-3,62,,0,0,20,80,idkntpes,80,3522
1440102807556,1440102811578,159.17004408314824,Donut Chart,2.357552004618084,63,,5,1,95,10,idkntpes,5,4022
1440102811578,1440102815564,326.04090521112084,Pie Angle Chart,6.002815015607054,64,,64,4,84,80,idkntpes,16,3986
1440102815564,,28.66256296634674,Donut Chart,1.0874628412503393,65,,2,0.6666666666666666,97,5,idkntpes,3,
1440102818749,1440102827808,276.6667381301522,Pie Chart,0.16992500144231237,66,Arc-Length,-1,-0.01098901098901099,9,90,idkntpes,91,9059
1440102827808,1440102831052,130.04634610377252,Pie Chart,0.16992500144231237,67,Arc-Length,1,0.1111111111111111,91,10,idkntpes,9,3244
1440102831055,1440102840056,110.45850408263505,Pie Chart,4.651051691178929,68,Arc-Length,-25,-1,75,Area,idkntpes,25,9001
1440102840071,1440102851162,47.249009711667895,Donut Chart,4.257387842692652,69,Arc-Length,19,0.3114754098360656,39,80,idkntpes,61,11091
1440102688127,1440102691511,341.8985417392105,Arc-Length Chart,2.357552004618084,32,,5,0.09090909090909091,45,60,idkntpes,55,3384
1440102729269,1440102733926,97.7301697153598,Donut Angle Chart,6.025139562278508,42,,65,4.333333333333333,85,80,idkntpes,15,4657
1440102659373,1440102662374,78.44930282793939,Pie Angle Chart,6.0687782779854125,24,,-67,-0.7701149425287356,13,20,idkntpes,87,3001
1440102662374,1440102666025,340.631666444242,Arc-Length Chart,2.0443941193584534,25,,4,0.05263157894736842,24,80,idkntpes,76,3651
1440102666025,1440102670636,0.3771426435559988,Donut Chart,3.189824558880017,26,,9,0.2903225806451613,69,40,idkntpes,31,4611
1440102670636,1440102674382,348.55472470633686,Pie Chart,2.0443941193584534,27,,4,0.0784313725490196,49,55,idkntpes,51,3746
1440102644208,1440102647393,250.37754499353468,Pie Chart,3.820178962415188,20,,14,1.2727272727272727,89,25,idkntpes,11,3185
1440102647393,1440102650423,251.69876150786877,Donut Angle Chart,3.820178962415188,21,,14,0.875,84,30,idkntpes,16,3030
1440102752439,1440102756853,187.7523381728679,Donut Chart,2.0443941193584534,48,,4,0.1111111111111111,64,40,idkntpes,36,4414
1440102756853,1440102760517,138.67724519222975,Area Chart,2.6147098441152083,49,,-6,-0.10714285714285714,44,50,idkntpes,56,3664
1440102743836,1440102749089,151.70121029019356,Arc-Length Chart,2.357552004618084,46,,5,0.07142857142857142,30,75,idkntpes,70,5253
1440102655888,1440102659373,19.73525463603437,Pie Chart,3.4757334309663976,23,,11,0.7857142857142857,86,25,idkntpes,14,3485
1440102737207,1440102740454,296.95066234096885,Pie Chart,2.0443941193584534,44,,4,0.6666666666666666,94,10,idkntpes,6,3247
1440102740456,1440102743836,146.5832383185625,Area Chart,1.0874628412503393,45,,-2,-0.021739130434782608,8,90,idkntpes,92,3380
1440102674384,1440102677400,237.09834122098982,Arc-Length Chart,1.0874628412503393,28,,-2,-0.024390243902439025,18,80,idkntpes,82,3016
1440102677416,1440102680646,295.82103895023465,Pie Chart,1.6438561897747246,29,,3,0.13636363636363635,78,25,idkntpes,22,3230
1440102722725,1440102726097,317.42086722515523,Area Chart,1.0874628412503393,40,,-2,-0.0625,68,30,idkntpes,32,3372
1440102726097,1440102729269,125.71312403306365,Donut Chart,1.6438561897747246,41,,-3,-0.06976744186046512,57,40,idkntpes,43,3172
1440102545922,1440102549936,207.43484842590988,Donut Chart,0.16992500144231237,1,Arc-Length,1,0.1111111111111111,91,10,idkntpes,9,4014
1440102700872,1440102705420,328.1265115644783,Donut Angle Chart,6.1922928144707665,35,,-73,-0.8295454545454546,12,15,idkntpes,88,4548
1440102558334,1440102568676,102.66956850886345,Pie Chart,2.0443941193584534,3,Arc-Length,4,0.06557377049180328,39,65,idkntpes,61,10342
1440102549936,1440102558334,352.97644215635955,Donut Chart,4.651051691178929,2,Arc-Length,-25,-1,75,Area,idkntpes,25,8398
1440102573846,,234.3283130787313,Pie Chart,4.651051691178929,5,Arc-Length,-25,-1,75,Area,idkntpes,25,
1440102568677,1440102573845,67.38357058726251,Pie Chart,1.0874628412503393,4,Arc-Length,-2,-0.05405405405405406,63,35,idkntpes,37,5168
1440102594879,1440102599827,265.27169038541615,Arc-Length Chart,-3,7,,0,0,79,21,idkntpes,21,4948
1440102580467,1440102594879,341.42444813624024,Pie Chart,4.651051691178929,6,,-25,-1,75,,idkntpes,25,14412
1440102603728,1440102607345,328.2493336033076,Pie Chart,4.651051691178929,9,,-25,-1,75,,idkntpes,25,3617
1440102684043,1440102688127,34.34238329529762,Pie Chart,1.0874628412503393,31,,-2,-0.03225806451612903,38,60,idkntpes,62,4084
1440102733927,1440102737197,246.32798890583217,Donut Chart,1.0874628412503393,43,,2,0.02564102564102564,22,80,idkntpes,78,3270
